t_seconds,iso_time,node,private_mb
0.038,2026-04-22T23:28:36,0,3454.83
0.038,2026-04-22T23:28:36,1,1.65
1.068,2026-04-22T23:28:37,0,5090.12
1.068,2026-04-22T23:28:37,1,1.65
2.100,2026-04-22T23:28:38,0,6741.35
2.100,2026-04-22T23:28:38,1,1.65
3.141,2026-04-22T23:28:39,0,7813.0
3.141,2026-04-22T23:28:39,1,1.65
4.188,2026-04-22T23:28:41,0,7813.0
4.188,2026-04-22T23:28:41,1,1.65
5.235,2026-04-22T23:28:42,0,7813.0
5.235,2026-04-22T23:28:42,1,1.65
6.282,2026-04-22T23:28:43,0,7813.0
6.282,2026-04-22T23:28:43,1,1.65
7.328,2026-04-22T23:28:44,0,7813.0
7.328,2026-04-22T23:28:44,1,1.65
8.375,2026-04-22T23:28:45,0,7813.0
8.375,2026-04-22T23:28:45,1,1.65
9.422,2026-04-22T23:28:46,0,7813.0
9.422,2026-04-22T23:28:46,1,1.65
10.464,2026-04-22T23:28:47,0,7813.0
10.464,2026-04-22T23:28:47,1,1.65
11.511,2026-04-22T23:28:48,0,7813.0
11.511,2026-04-22T23:28:48,1,1.65
12.558,2026-04-22T23:28:49,0,7813.0
12.558,2026-04-22T23:28:49,1,1.65
13.605,2026-04-22T23:28:50,0,7813.0
13.605,2026-04-22T23:28:50,1,1.65
14.650,2026-04-22T23:28:51,0,7813.0
14.650,2026-04-22T23:28:51,1,1.65
15.695,2026-04-22T23:28:52,0,7813.0
15.695,2026-04-22T23:28:52,1,1.65
16.742,2026-04-22T23:28:53,0,7813.0
16.742,2026-04-22T23:28:53,1,1.65
17.788,2026-04-22T23:28:54,0,7815.02
17.788,2026-04-22T23:28:54,1,1.65
