t_seconds,iso_time,node,private_mb
0.016,2026-04-22T22:52:48,0,0.18
0.016,2026-04-22T22:52:48,1,1034.82
1.026,2026-04-22T22:52:49,0,0.18
1.026,2026-04-22T22:52:49,1,2697.94
2.045,2026-04-22T22:52:50,0,0.18
2.045,2026-04-22T22:52:50,1,4373.45
3.073,2026-04-22T22:52:51,0,0.18
3.073,2026-04-22T22:52:51,1,6065.03
4.110,2026-04-22T22:52:52,0,0.18
4.110,2026-04-22T22:52:52,1,7769.73
5.156,2026-04-22T22:52:53,0,0.18
5.156,2026-04-22T22:52:53,1,9488.67
6.211,2026-04-22T22:52:55,0,0.18
6.211,2026-04-22T22:52:55,1,11221.76
7.275,2026-04-22T22:52:56,0,0.18
7.275,2026-04-22T22:52:56,1,12971.32
8.348,2026-04-22T22:52:57,0,0.18
8.348,2026-04-22T22:52:57,1,14734.05
9.430,2026-04-22T22:52:58,0,0.18
9.430,2026-04-22T22:52:58,1,16385.56
10.522,2026-04-22T22:52:59,0,0.18
10.522,2026-04-22T22:52:59,1,16385.62
11.621,2026-04-22T22:53:00,0,0.18
11.621,2026-04-22T22:53:00,1,16385.62
12.715,2026-04-22T22:53:01,0,0.18
12.715,2026-04-22T22:53:01,1,16385.62
13.810,2026-04-22T22:53:02,0,0.18
13.810,2026-04-22T22:53:02,1,16385.62
14.904,2026-04-22T22:53:03,0,0.18
14.904,2026-04-22T22:53:03,1,16385.62
16.001,2026-04-22T22:53:04,0,0.18
16.001,2026-04-22T22:53:04,1,16385.62
17.093,2026-04-22T22:53:05,0,0.18
17.093,2026-04-22T22:53:05,1,16385.62
18.191,2026-04-22T22:53:07,0,0.18
18.191,2026-04-22T22:53:07,1,16385.62
19.291,2026-04-22T22:53:08,0,0.18
19.291,2026-04-22T22:53:08,1,16385.62
20.387,2026-04-22T22:53:09,0,0.18
20.387,2026-04-22T22:53:09,1,16385.62
21.480,2026-04-22T22:53:10,0,0.18
21.480,2026-04-22T22:53:10,1,16385.62
22.580,2026-04-22T22:53:11,0,0.18
22.580,2026-04-22T22:53:11,1,16385.62
23.678,2026-04-22T22:53:12,0,0.18
23.678,2026-04-22T22:53:12,1,16385.62
24.774,2026-04-22T22:53:13,0,0.18
24.774,2026-04-22T22:53:13,1,16385.62
25.868,2026-04-22T22:53:14,0,0.18
25.868,2026-04-22T22:53:14,1,16385.62
26.959,2026-04-22T22:53:15,0,0.18
26.959,2026-04-22T22:53:15,1,16385.62
28.047,2026-04-22T22:53:16,0,0.18
28.047,2026-04-22T22:53:16,1,16385.62
29.139,2026-04-22T22:53:18,0,0.18
29.139,2026-04-22T22:53:18,1,16385.62
30.236,2026-04-22T22:53:19,0,0.18
30.236,2026-04-22T22:53:19,1,16385.62
31.332,2026-04-22T22:53:20,0,0.18
31.332,2026-04-22T22:53:20,1,16385.62
32.427,2026-04-22T22:53:21,0,0.18
32.427,2026-04-22T22:53:21,1,16385.62
33.520,2026-04-22T22:53:22,0,0.18
33.520,2026-04-22T22:53:22,1,16385.62
34.620,2026-04-22T22:53:23,0,0.18
34.620,2026-04-22T22:53:23,1,16385.62
35.712,2026-04-22T22:53:24,0,0.18
35.712,2026-04-22T22:53:24,1,16385.62
36.806,2026-04-22T22:53:25,0,0.18
36.806,2026-04-22T22:53:25,1,16385.62
37.900,2026-04-22T22:53:26,0,0.18
